City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,puerto baquerizo moreno,-0.9,-89.6,25.01,73,100,5.45,EC,1684153524
342,kirando,-7.4167,30.6,27.55,62,42,2.68,TZ,1684153525
343,port lincoln,-34.7333,135.8667,15.48,82,0,3.79,AU,1684153526
344,leticia,-4.2153,-69.9406,25.03,94,100,2.06,CO,1684153527
345,tura,25.5198,90.2201,28.29,47,26,1.88,IN,1684153528
346,ghanzi,-21.5667,21.7833,27.6,24,46,0.24,BW,1684153530
347,selfoss,63.9331,-20.9971,4.47,75,88,7.96,IS,1684153531
348,ronne,55.1009,14.7066,20.95,37,75,5.66,DK,1684153534
349,chinde,26.8418,88.0763,22.78,44,87,1.78,NP,1684153535
350,jalai nur,49.45,117.7,7.81,16,96,4.08,CN,1684153536
351,lively,46.4334,-81.1498,8.34,67,19,3.54,CA,1684153539
352,oriximina,-1.7656,-55.8661,25.99,90,99,1.97,BR,1684153540
353,jefferson,38.1834,-85.65,17.92,54,100,3.13,US,1684153541
354,cannonvale,-20.2833,148.7,22.66,91,40,2.9,AU,1684153543
355,likasi,-10.9814,26.7333,27.41,40,43,1.38,CD,1684153544
356,alcacer do sal,38.3733,-8.5144,26.3,30,61,5.75,PT,1684153545
357,zouerate,22.7187,-12.4521,33.07,11,68,5.33,MR,1684153546
358,nagqu,31.5,92.0,5.94,34,100,0.21,CN,1684153547
359,vilhena,-12.7406,-60.1458,22.12,83,0,5.14,BR,1684153549
360,adrar,20.5022,-10.0711,37.04,9,32,7.0,MR,1684153551
361,sampit,-2.5333,112.95,24.42,82,26,1.22,ID,1684153552
362,souillac,-20.5167,57.5167,28.21,69,40,4.63,MU,1684153553
363,abepura,-2.6333,140.5833,27.45,83,20,2.06,ID,1684153554
